start_date,end_date,status,progress,duration_in_seconds,finished,recorded_date,response_id,distribution_channel,user_language,q1,q2,q2_3_text,q3_1,q4,q5_1,q5_2,q5_3,q5_4,q5_5,q5_6,q5_7,q5_8,q5_9,q5_10,q5_11,q5_12,q5_13,q5_14,q5_15,q5_16,q5_17,q5_18,q5_19,q5_20,q5_21,q5_22,q5_23,q5_24,q5_25,q5_26,q5_27,q5_28,q5_29,q5_30,q5_31,q5_32,q25,q25_5_text,q26,q26_9_text,q8_1,q8_2,q8_3,q8_4,q8_5,q8_6,q8_7,q8_8,q8_9,q8_10,q23_1,q23_2,q23_3,q23_4,q23_5,q23_6,q23_7,q23_8,q23_9,q23_10,q23_11,q23_12,q23_13,q23_14,q23_15,q23_16,q23_17,q23_18,q23_19,q23_20,q23_21,q23_22,q23_23,q23_24,q23_25,q23_26,q23_27,q23_28,q23_29,q23_30,q23_31,q23_32,q23_33,q9_1,q9_2,q9_3,q9_4,q9_5,q9_6,q9_7,q9_8,q9_9,q9_10,q9_11,q9_12,q9_13,q9_14,q9_15,q9_16,q10_1,q10_2,q10_3,q10_4,q10_5,q10_6,q10_7,q10_8,q10_9,q10_10,q10_11,q10_12,q10_13,q10_14,q10_15,q10_16,q22_1,q22_2,q22_3,q22_4,q22_5,q22_6,q22_7,q22_8,q22_9,q22_10,q13
2019-07-24T14:05:54Z,2019-07-24T14:16:28Z,0,100,634,1,2019-07-24T14:16:28Z,R_1Q9hHID1YgWKmtc,anonymous,EN-GB,40,1,NA,2,7,1,1,1,2,1,2,2,2,2,2,2,1,2,2,2,2,1,2,1,2,1,2,2,2,2,2,2,2,2,2,2,2,1,NA,2,NA,5,2,5,1,1,4,2,5,6,4,3,1,7,6,1,6,3,5,7,7,7,2,3,6,6,2,4,6,6,7,1,3,5,2,7,2,3,1,3,1,3,3,2,5,5,2,1,1,1,5,5,3,1,1,5,5,2,3,1,4,5,2,2,1,5,5,5,2,1,1,5,6,2,3,1,1,3,3,4,2,2,3,2,2,1,NA
2019-07-24T15:21:31Z,2019-07-24T16:25:01Z,0,100,3809,1,2019-07-24T16:25:01Z,R_3Gkd4UBc8I3aOzl,anonymous,EN-GB,23,1,NA,3,5,1,2,2,2,1,1,1,2,2,1,1,1,1,1,2,1,1,2,1,2,1,1,1,1,1,2,2,1,1,2,2,1,2,NA,1,NA,5,2,5,1,1,1,1,2,3,1,2,2,7,4,2,4,4,4,4,3,3,6,6,6,6,6,6,6,6,7,2,2,3,5,6,2,2,4,2,2,5,3,3,5,5,2,3,4,1,5,5,5,2,4,5,5,3,3,1,4,4,2,4,3,5,4,3,3,1,1,5,2,3,2,1,1,2,4,5,1,4,4,3,2,2,NA
2019-07-24T16:22:10Z,2019-07-24T16:43:54Z,0,100,1303,1,2019-07-24T16:43:55Z,R_1oBk3EngRS4xlcd,anonymous,EN-GB,24,2,NA,7,5,1,1,1,2,1,1,1,2,2,1,1,1,1,1,1,2,1,2,1,2,1,1,1,2,1,1,2,1,1,2,2,1,1,NA,3,NA,6,5,6,3,4,4,4,5,4,5,2,1,7,4,1,7,1,3,7,4,3,1,4,4,7,1,7,5,4,7,1,1,3,1,7,1,1,1,2,1,4,1,1,6,4,1,4,4,1,6,5,4,2,2,6,6,4,3,1,6,6,1,4,3,6,5,5,4,4,2,6,2,4,4,1,1,3,2,5,1,2,5,3,2,1,NA
2019-07-25T09:49:49Z,2019-07-25T10:00:55Z,0,100,665,1,2019-07-25T10:00:56Z,R_xyHcHDPwWAtgeo9,anonymous,EN-GB,26,2,NA,4,5,2,2,2,2,2,2,2,2,2,1,1,2,2,2,2,2,1,2,2,2,2,2,2,2,2,1,2,1,2,2,2,1,3,NA,3,NA,7,5,6,6,6,3,6,6,2,6,3,1,6,4,1,4,2,6,4,5,1,1,2,6,7,1,3,6,3,7,1,6,6,5,6,1,2,1,5,1,6,1,1,6,5,2,5,2,1,6,4,4,2,3,5,6,6,4,3,6,4,4,5,6,6,5,2,1,5,2,6,4,5,4,4,1,3,5,5,1,4,5,5,3,1,NA
2019-07-25T11:28:50Z,2019-07-25T11:52:20Z,0,100,1410,1,2019-07-25T11:52:21Z,R_1oHFM7mjmuOTdqb,anonymous,EN-GB,28,2,NA,8,4,1,2,2,2,1,1,1,2,2,1,2,1,1,1,1,2,2,2,2,2,2,2,2,1,1,2,2,1,2,2,2,1,1,NA,1,NA,6,5,2,6,6,6,6,6,7,6,2,1,7,6,2,6,2,3,6,7,7,1,5,7,7,1,7,7,6,7,1,5,5,6,7,1,2,1,6,1,6,3,2,6,6,4,2,6,2,6,6,6,2,5,6,6,6,4,1,6,5,2,4,4,5,6,4,4,1,2,5,4,2,1,2,1,4,2,4,1,2,5,2,1,1,"The questions were all worded well. Unlike most surveys this one held my attention. It is interesting to see some inconsistencies within my own beliefs and the way I actually act. Great work, eager for the results!"
2019-07-25T11:36:08Z,2019-07-25T12:35:43Z,0,100,3574,1,2019-07-25T12:35:44Z,R_10pcoLypA8GFBGD,anonymous,EN-GB,35,2,NA,5,3,1,1,1,2,1,1,1,2,2,1,1,1,1,1,1,2,2,2,1,2,2,2,2,2,2,2,1,2,1,2,2,2,1,NA,3,NA,3,5,3,3,2,2,2,NA,5,5,NA,1,3,4,3,6,2,3,3,3,3,1,3,3,6,2,5,6,7,6,1,6,6,6,6,6,4,1,2,2,6,6,2,6,6,3,3,6,1,6,2,4,2,4,5,4,3,3,6,6,5,4,6,2,6,2,3,1,5,6,2,2,5,4,5,2,2,2,4,2,2,5,3,3,1,NA
2019-07-25T12:39:26Z,2019-07-25T13:01:21Z,0,100,1315,1,2019-07-25T13:01:22Z,R_3DvG2H6SXwhj8es,anonymous,EN-GB,55,2,NA,8,4,1,1,1,2,1,1,1,2,2,1,1,1,1,2,1,2,1,2,1,2,2,1,2,2,1,2,2,1,2,1,2,1,1,NA,3,NA,6,3,3,6,6,6,2,5,6,6,1,1,3,6,1,6,2,6,2,5,5,2,4,5,6,2,5,6,7,7,1,6,NA,4,6,1,1,1,4,1,6,2,2,5,5,4,4,5,2,6,6,3,1,4,5,4,5,3,5,5,5,3,5,3,6,4,3,1,4,5,3,2,2,4,5,1,4,1,4,4,1,4,3,1,2,NA
2019-07-25T13:00:17Z,2019-07-25T13:27:11Z,0,100,1613,1,2019-07-25T13:27:12Z,R_A5mySfkt8orDWDf,anonymous,EN-GB,18,1,NA,8,2,1,1,2,1,1,2,2,2,2,1,1,1,1,2,1,2,2,1,1,2,2,2,2,1,2,1,2,1,1,2,2,2,1,NA,3,NA,3,4,1,2,2,6,5,7,7,4,3,1,1,3,6,2,3,1,1,1,6,2,1,5,7,1,1,6,4,7,3,2,4,1,1,1,1,1,2,3,3,5,3,5,3,5,4,6,4,5,4,6,4,4,5,5,5,2,6,6,2,6,6,5,6,1,1,6,6,5,6,1,3,4,5,5,1,1,4,2,5,1,5,5,5,NA
2019-07-25T13:56:47Z,2019-07-25T14:16:36Z,0,100,1189,1,2019-07-25T14:16:37Z,R_PUmfB43VWFgSwb7,anonymous,EN-GB,68,1,NA,3,5,1,1,1,2,1,1,1,2,2,1,1,1,1,1,1,1,1,2,1,2,2,2,2,1,2,2,1,2,2,2,2,2,1,NA,1,NA,6,5,5,5,6,5,5,5,4,6,NA,1,7,7,1,1,6,6,7,5,3,2,5,4,7,4,7,7,3,7,1,6,4,2,7,1,1,2,3,1,6,1,1,6,6,4,2,2,1,6,6,2,1,3,6,6,2,2,1,6,6,1,4,1,6,5,5,2,2,1,6,6,2,1,1,1,4,2,5,1,1,5,4,3,1,NA
2019-07-25T15:24:49Z,2019-07-25T15:40:59Z,0,100,970,1,2019-07-25T15:41:00Z,R_2EFBKivczosJMgM,anonymous,EN-GB,41,2,NA,2,6,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,4,NA,6,NA,5,5,4,2,2,2,2,4,4,6,1,1,7,7,1,7,1,6,7,7,3,1,5,7,7,1,7,7,7,7,1,7,7,4,7,1,4,1,7,1,7,1,1,6,6,1,1,1,1,6,6,3,2,5,6,6,3,3,1,6,6,1,4,3,6,6,5,1,1,1,6,4,1,2,1,1,5,5,5,1,1,5,5,1,1,NA
2019-07-25T17:16:22Z,2019-07-25T17:32:36Z,0,100,973,1,2019-07-25T17:32:37Z,R_3PN4kZRJTAsPzep,anonymous,EN-GB,64,2,NA,10,4,1,1,2,2,1,1,1,2,2,1,1,1,1,1,1,1,1,2,1,2,1,1,2,2,2,1,1,2,2,2,2,2,1,NA,2,NA,2,2,2,2,2,4,2,2,2,6,6,2,6,6,1,1,1,3,6,6,6,1,6,6,7,1,6,7,6,6,7,6,3,5,7,2,2,1,6,6,6,3,3,5,5,2,2,4,1,4,4,5,4,5,5,5,3,3,1,6,6,2,4,6,6,5,5,3,1,1,5,3,3,3,1,2,3,2,4,1,1,5,3,2,1,NA
