import name,var_name,item_text,response_format,resp_min,resp_max,resp_labels,units,reverse,factor,scale_cite
start_date,start_date,NA,NA,NA,,NA,,NA,NA,NA
end_date,end_date,NA,NA,NA,,NA,,NA,NA,NA
status,status,NA,NA,NA,,NA,,NA,NA,NA
progress,progress,NA,NA,NA,,NA,,NA,NA,NA
duration_in_seconds,duration_in_seconds,NA,NA,NA,,NA,,NA,NA,NA
finished,finished,NA,NA,NA,,NA,,NA,NA,NA
recorded_date,recorded_date,NA,NA,NA,,NA,,NA,NA,NA
response_id,response_id,NA,NA,NA,,NA,,NA,NA,NA
user_language,user_language,NA,NA,NA,,NA,,NA,NA,NA
q1,age,How old are you (in years)?,numeric_free,NA,NA,NA,,NA,NA,NA
q2,gender,What Gender do you identify as?,likert,NA,NA,NA,,NA,NA,NA
q2_3_text,gender_text,Not listed (please specify),text_free,NA,NA,NA,,NA,NA,NA
q3_1,location,"Using the slider below, how would you describe where you live? ",slider,1,10,1 (Within a major city) 10 (In a rural area),,NA,NA,NA
q4,education,What is the highest level of education you have completed? ,likert,1,7,1 (Less than high school) 2 (High school graduate) 3 (Technical school diploma) 4 (Associate degree) 5 (Bachelors degree) 6 (Professional degree) 7 (Doctorate),,NA,NA,NA
q5_1,apu_1,Beef,binary,1,2,1 (Yes) 2 (No),,No,Vegan,NA
q5_2,apu_2,Pork (incl. bacon),binary,1,2,1 (Yes) 2 (No),,No,Vegan,NA
q5_3,apu_3,Mutton / Lamb / Goat,binary,1,2,1 (Yes) 2 (No),,No,Vegan,NA
q5_4,apu_4,"Game meat (e.g. venison, kangaroo)",binary,1,2,1 (Yes) 2 (No),NA,No,Vegan,NA
q5_5,apu_5,Poultry (Chicken / Duck / Turkey),binary,1,2,1 (Yes) 2 (No),,No,Vegan,NA
q5_6,apu_6,Fish,binary,1,2,1 (Yes) 2 (No),,No,Vegan,NA
q5_7,apu_7,Shellfish and other seafood,binary,1,2,1 (Yes) 2 (No),,No,Vegan,NA
q5_8,apu_8,Reptile or amphibian (e.g. frog) meat,binary,1,2,1 (Yes) 2 (No),,No,Vegan,NA
q5_9,apu_9,"Insect (e.g. crickets, grubs) or molluscs (e.g. snails)",binary,1,2,1 (Yes) 2 (No),,No,Vegan,NA
q5_10,apu_10,Eggs,binary,1,2,1 (Yes) 2 (No),,No,Vegan,NA
q5_11,apu_11,"Milk (Cow, Goat, or other)",binary,1,2,1 (Yes) 2 (No),,No,Vegan,NA
q5_12,apu_12,Cheese,binary,1,2,1 (Yes) 2 (No),,No,Vegan,NA
q5_13,apu_13,Butter,binary,1,2,1 (Yes) 2 (No),,No,Vegan,NA
q5_14,apu_14,Honey,binary,1,2,1 (Yes) 2 (No),,No,Vegan,NA
q5_15,apu_15,"Animal fats (e.g. in cooking, candles or soaps)",binary,1,2,1 (Yes) 2 (No),,No,Vegan,NA
q5_16,apu_16,Wool,binary,1,2,1 (Yes) 2 (No),,No,Vegan,NA
q5_17,apu_17,Leather,binary,1,2,1 (Yes) 2 (No),,No,Vegan,NA
q5_18,apu_18,Fur,binary,1,2,1 (Yes) 2 (No),,No,Vegan,NA
q5_19,apu_19,"Fruits, vegetables, or nuts fertilised by animals (e.g. Avocado, almonds)",binary,1,2,1 (Yes) 2 (No),,No,Vegan,NA
q5_20,apu_20,Silk,binary,1,2,1 (Yes) 2 (No),,No,Vegan,NA
q5_21,apu_21,Feathers (e.g. in down pillows),binary,1,2,1 (Yes) 2 (No),,No,Vegan,NA
q5_22,apu_22,Lanolin (e.g. in Skincare products),binary,1,2,1 (Yes) 2 (No),,No,Vegan,NA
q5_23,apu_23,Products coloured red with Carmine\Cochineal,binary,1,2,1 (Yes) 2 (No),,No,Vegan,NA
q5_24,apu_24,"Gelatine (e.g. in jelly, foods, or cosmetics)",binary,1,2,1 (Yes) 2 (No),,No,Vegan,NA
q5_25,apu_25,"Beeswax (e.g. in candles, cosmetics, or skincare products)",binary,1,2,1 (Yes) 2 (No),,No,Vegan,NA
q5_26,apu_26,Ambergris (e.g. in perfume),binary,1,2,1 (Yes) 2 (No),,No,Vegan,NA
q5_27,apu_27,Isinglass (e.g. in white wine),binary,1,2,1 (Yes) 2 (No),,No,Vegan,NA
q5_28,apu_28,Medicines tested on animals,binary,1,2,1 (Yes) 2 (No),,No,Vegan,NA
q5_29,apu_29,Skincare products / cosmetics tested on animals,binary,1,2,1 (Yes) 2 (No),,No,Vegan,NA
q5_30,apu_30,Vaccines cultured in eggs (e.g. fluvax),binary,1,2,1 (Yes) 2 (No),,No,Vegan,NA
q5_31,apu_31,Smoking ,binary,1,2,1 (Yes) 2 (No),,No,Vegan,NA
q5_32,apu_32,"Medication containing animal products (e.g. lactose, gelatine)",binary,1,2,1 (Yes) 2 (No),,No,Vegan,NA
q25,describ_diet,What term best describes your diet? ,multiple,1,4,1 (Omnivore) 2 (Flexitarian) 3 (Vegetarian) 4 (Vegan),,No,Self described diet,NA
q25_5_text,describ_diet_free,Not listed (please specify),free,NA,NA,NA,NA,No,Self described diet,NA
q26,belief_sys,What belief system do you subscribe to? ,multiple,1,7,1 (Atheist) 2 (Agnostic) 3 (Christianity) 4 (Islam) 5 (Judaism) 6 (Buddhism) 7 (Hinduism) 8 (Sikhism),NA,No,Religion,NA
q26_9_text,belief_sys_free,Not listed (please specify),free,NA,NA,NA,NA,No,Religion,NA
q8_1,health_1,I am concerned about gaining weight,likert,1,7,1 (Strongly disagree) 7 (Strongly agree),,No,Health concern,https://www.sciencedirect.com/science/article/pii/S0950329398000433
q8_2,health_2,I am concerned about getting a lot of fat in my food,likert,1,7,1 (Strongly disagree) 7 (Strongly agree),,No,Health concern ,https://www.sciencedirect.com/science/article/pii/S0950329398000433
q8_3,health_3,I am concerned about getting many calories,likert,1,7,1 (Strongly disagree) 7 (Strongly agree),,No,Health concern,https://www.sciencedirect.com/science/article/pii/S0950329398000433
q8_4,health_4,I am concerned about the risk of high blood pressure,likert,1,7,1 (Strongly disagree) 7 (Strongly agree),,No,Health concern ,https://www.sciencedirect.com/science/article/pii/S0950329398000433
q8_5,health_5,I am concerned about risk of coronary heart disease,likert,1,7,1 (Strongly disagree) 7 (Strongly agree),,No,Health concern ,https://www.sciencedirect.com/science/article/pii/S0950329398000433
